제품코드,제품명,제품용량,규격,단일상자환산값,2합환산값,시키리,본부장,JANコード
101004468,チャパゲティー5P,700.0,8,8.0,8.0,665.0,455.0,8801043052856
101002524,辛ラーメン20P(コストコ）,,1,1.0,1.0,,,
903002262,辛ラーメンで作る コリコレ プデチゲ,176.0,6×4,6.0,24.0,300.0,210.0,4582214 637440
903002263,辛ラーメンで作る コリコレ キムチチゲ,183.0,6×4,6.0,24.0,300.0,210.0,4582214 637464
101003068,★ハラル辛カップラーメン,68.0,12,12.0,12.0,148.0,108.0,★031146270606
101006535,★ハラル辛ラーメン,120.0,20,20.0,20.0,133.0,93.0,★031146150601
101006531,ふるる冷麺（水冷麺）20,155.0,20,20.0,20.0,182.0,102.0,8801043023948
101006529,ふるる冷麺（ビビン冷麺）20,159.0,20,20.0,20.0,181.50000000000003,102.0,8801043024099
901001584,純正韓国ごま油,100.0,15×2,15.0,30.0,300.0,,8801039935859
901002700,チャパゲティ万能ソース,280.0,12,12.0,12.0,600.0,440.0,8801043069083
901002699,ベホンドン万能ソース,300.0,12,12.0,12.0,600.0,440.0,8801043062008
102002347,パン部長(塩) シール貼り300ケース,55.0,16,16.0,16.0,210.0,175.0,8801043070034
102002348,パン部長(チョコ) シール貼り300ケース,55.0,16,16.0,16.0,210.0,175.0,8801043070058
102000556,辛いえびせん,90.0,20,20.0,20.0,120.0,85.0,4582214634036
102001277,オニオンリング   　　,50.0,20,20.0,20.0,120.0,85.0,8801043017213
102001249,ジョンチョンユガ,50.0,20,20.0,20.0,120.0,85.0,8801043011273
102001248,ハニーツイスト,50.0,20,20.0,20.0,120.0,85.0,8801043011372
102001400,バナナキック,45.0,20,20.0,20.0,120.0,85.0,8801043024419
101004632,ふるる冷麺（水冷麺）20,155.0,20,20.0,20.0,165.0,97.0,4582214630205
101004633,ふるる冷麺（ビビン冷麺）20,159.0,20,20.0,20.0,165.0,97.0,4582214630229
101006601,イワシカルグクス5P,490.0,8,8.0,8.0,780.0,590.0,8801043025089
101004886,アングリーノグリ袋1P,120.0,20×2,20.0,40.0,141.0,103.0,8801043056458
101004887,アングリーノグリ袋5P,605.0,8,8.0,8.0,705.0,515.0,8801043056779
101005149,ノグリ旨辛焼きちゃんぽんカップ24★受注生産,110.0,12×2,24.0,24.0,185.0,145.0,8801043060806
901001881,クッタムラッポギ(ジャージャー味)2人前 ◆ｼｰﾙ対応,380.0,12,12.0,12.0,504.0,400.0,8801043044011
901001880,クッタムラッポギ(旨辛味)2人前　◆ｼｰﾙ対応,390.0,12,12.0,12.0,504.0,400.0,8801043043991
903001423,トッポギ＆ヌードル(ジャジャン味)　混載800,128.0,16,16.0,16.0,210.0,,8809061671059
903001421,トッポギ＆ヌードル(旨辛味)　混載800,128.0,16,16.0,16.0,210.0,,8809061671035
903001422,トッポギ＆ヌードル(ハバネロ味)　混載800,132.0,16,16.0,16.0,210.0,,8809061671042
101004056,スパイシーノグボナーラ1P,134.0,20×2,20.0,40.0,166.0,125.0,8801043044080
102002066,ポテトチップスユッケジャン味,45.0,16,16.0,16.0,183.0,160.0,8801043049382
